Feature_Selection,Optimizer,Loss_Function,Activation_Function,MAPE(%)
DecisionTree_30pct_03,AdamW,MAE,ELU,9.843521
DecisionTree_30pct_03,Adam,MAE,ReLU,9.73345
DecisionTree_30pct_03,AdamW,MSE,LeakyReLU,20.664051
DecisionTree_30pct_03,Adam,SmoothL1Loss,ReLU,9.944899
DecisionTree_30pct_03,Adam,SmoothL1Loss,LeakyReLU,9.528448
DecisionTree_30pct_03,Adam,MSE,PReLU,13.625433
DecisionTree_30pct_03,AdamW,SmoothL1Loss,ELU,10.615784
DecisionTree_30pct_03,Adam,MAE,PReLU,8.410168
DecisionTree_30pct_03,Adam,MSE,ReLU,20.652376
DecisionTree_30pct_03,AdamW,SmoothL1Loss,LeakyReLU,9.582504
DecisionTree_30pct_03,AdamW,SmoothL1Loss,PReLU,8.494961
DecisionTree_30pct_03,AdamW,MSE,ELU,25.285578
DecisionTree_30pct_03,Adam,MSE,ELU,26.01046
DecisionTree_30pct_03,Adam,MAE,LeakyReLU,9.684795
DecisionTree_30pct_03,Adam,MSE,LeakyReLU,21.636963
DecisionTree_30pct_03,AdamW,MAE,PReLU,8.4275465
DecisionTree_30pct_03,Adam,MAE,ELU,9.562558
DecisionTree_30pct_03,AdamW,SmoothL1Loss,ReLU,9.774973
DecisionTree_30pct_03,Adam,SmoothL1Loss,ELU,10.289422
DecisionTree_30pct_03,AdamW,MAE,ReLU,9.698851
DecisionTree_30pct_03,Adam,SmoothL1Loss,PReLU,8.538916
DecisionTree_30pct_03,AdamW,MSE,ReLU,20.133297
DecisionTree_30pct_03,AdamW,MAE,LeakyReLU,9.309234
DecisionTree_30pct_03,AdamW,MSE,PReLU,14.153941
Word2Vec_70pct_03,AdamW,MAE,ELU,13.910662
Word2Vec_70pct_03,Adam,MAE,ReLU,12.910358
Word2Vec_70pct_03,AdamW,MSE,LeakyReLU,16.09151
Word2Vec_70pct_03,Adam,SmoothL1Loss,ReLU,12.874878
Word2Vec_70pct_03,Adam,SmoothL1Loss,LeakyReLU,12.811483
Word2Vec_70pct_03,Adam,MSE,PReLU,15.428668
Word2Vec_70pct_03,AdamW,SmoothL1Loss,ELU,14.049418
Word2Vec_70pct_03,Adam,MAE,PReLU,11.813502
