Feature_Selection,Optimizer,Loss_Function,Activation_Function,Total_Train_Time,Last_Train_Loss,Last_Val_Loss,Cost_Benefit,Pareto
DecisionTree_30pct_03,Adam,SmoothL1Loss,PReLU,983.0,6849617.0,7579711.0,7710.794506612411,False
DecisionTree_30pct_03,AdamW,MSE,ReLU,1013.0,825553984684032.0,1957014464888832.0,1931899767906.0532,False
DecisionTree_30pct_03,Adam,MAE,PReLU,926.0,6918671.0,7492977.0,8091.767818574514,True
DecisionTree_30pct_03,Adam,MAE,ELU,938.0,9432397.0,9707026.0,10348.641791044776,False
DecisionTree_30pct_03,Adam,MAE,ReLU,963.0,9601257.0,10562797.0,10968.63655244029,False
DecisionTree_30pct_03,Adam,SmoothL1Loss,ReLU,988.0,9530530.0,10358046.0,10483.852226720648,False
DecisionTree_30pct_03,AdamW,MSE,ELU,1012.0,951895346642944.0,1804948329201664.0,1783545779843.5415,False
DecisionTree_30pct_03,Adam,SmoothL1Loss,LeakyReLU,999.0,9056374.0,10224204.0,10234.43843843844,False
DecisionTree_30pct_03,AdamW,SmoothL1Loss,LeakyReLU,1046.0,9035747.0,10083751.0,9640.297323135756,False
DecisionTree_30pct_03,Adam,MSE,ReLU,995.0,758109509255168.0,1991389906731008.0,2001396891186.9426,False
DecisionTree_30pct_03,AdamW,MAE,LeakyReLU,985.0,9015444.0,10034798.0,10187.612182741117,False
DecisionTree_30pct_03,Adam,MSE,ELU,951.0,873868071796736.0,1819452433760256.0,1913199194279.9749,False
DecisionTree_30pct_03,Adam,SmoothL1Loss,ELU,995.0,10221263.0,10166107.0,10217.19296482412,False
DecisionTree_30pct_03,AdamW,MAE,PReLU,1014.0,6744214.5,7526987.5,7423.06459566075,False
DecisionTree_30pct_03,Adam,MSE,LeakyReLU,968.0,771720126398464.0,1999067429208064.0,2065152302900.8926,False
DecisionTree_30pct_03,AdamW,MSE,LeakyReLU,989.0,811629163839488.0,1964239673622528.0,1986086626514.184,False
DecisionTree_30pct_03,AdamW,MAE,ELU,986.0,9868046.0,9907636.0,10048.312373225152,False
DecisionTree_30pct_03,AdamW,MSE,PReLU,986.0,101159884816384.0,759154394267648.0,769933462746.0933,False
DecisionTree_30pct_03,AdamW,SmoothL1Loss,ReLU,994.0,9559920.0,10299096.0,10361.263581488935,False
DecisionTree_30pct_03,AdamW,SmoothL1Loss,ELU,1019.0,10470429.0,10419114.0,10224.842001962708,False
DecisionTree_30pct_03,Adam,MAE,LeakyReLU,964.0,9216931.0,10246916.0,10629.58091286307,False
DecisionTree_30pct_03,AdamW,MAE,ReLU,983.0,9561322.0,10280076.0,10457.859613428282,False
DecisionTree_30pct_03,AdamW,SmoothL1Loss,PReLU,995.0,6867080.5,7379011.5,7416.091959798995,True
DecisionTree_30pct_03,Adam,MSE,PReLU,986.0,104083818020864.0,811256508317696.0,822775363405.3712,False
DecisionTree_50pct_03,AdamW,SmoothL1Loss,LeakyReLU,1886.0,6478299.5,9575797.0,5077.304878048781,False
DecisionTree_50pct_03,Adam,SmoothL1Loss,LeakyReLU,1791.0,6605879.5,9757600.0,5448.129536571748,False
DecisionTree_50pct_03,AdamW,MSE,ELU,1929.0,221777028448256.0,1751362572386304.0,907912168162.9363,False
DecisionTree_50pct_03,AdamW,MSE,ReLU,1796.0,145608753020928.0,1783224384618496.0,992886628406.735,False
DecisionTree_50pct_03,Adam,MAE,ReLU,1689.0,7035284.5,9824042.0,5816.484310242748,False
DecisionTree_50pct_03,Adam,MAE,ELU,1687.0,7185001.0,8748658.0,5185.926496739775,False
DecisionTree_50pct_03,Adam,MAE,PReLU,1672.0,5531978.5,7395034.5,4422.867523923445,False
DecisionTree_50pct_03,Adam,MSE,ReLU,1796.0,142645997338624.0,1850646378577920.0,1030426714130.245,False
DecisionTree_50pct_03,Adam,SmoothL1Loss,ReLU,1795.0,6978743.5,9727761.0,5419.365459610028,False
DecisionTree_50pct_03,AdamW,MAE,LeakyReLU,1903.0,6580684.0,9475553.0,4979.271150814503,False
DecisionTree_50pct_03,AdamW,MAE,ELU,1818.0,7581361.5,9002874.0,4952.075907590759,False
